dataset,method,hyperparam,val_split,accuracy_mean,accuracy_std,accuracy_count,precision_macro_mean,precision_macro_std,precision_macro_count,recall_macro_mean,recall_macro_std,recall_macro_count,f1_macro_mean,f1_macro_std,f1_macro_count,fpr_macro_mean,fpr_macro_std,fpr_macro_count
fashionmnist,Dropconnect,0.1,val0.8,0.8411166666666666,0.005054059607733006,10,0.8406812519826771,0.004796697859853873,10,0.8412697305658016,0.004510654192114922,10,0.8405347777707807,0.004657177469756768,10,0.0176545967473751,0.0005655784721705877,10
fashionmnist,Dropconnect,0.1,val0.895,0.6050833333333333,0.013411173248498245,10,0.6083354328537098,0.010489019094726215,10,0.6050483015653666,0.013054047655425472,10,0.6007608391257856,0.010385522970665995,10,0.04388872565523837,0.0014941255498396389,10
fashionmnist,Dropconnect,0.5,val0.6,0.8184333333333333,0.004948624949305515,10,0.8183605950209796,0.004797279304862526,10,0.8177622837999792,0.005282185290545505,10,0.814433558968527,0.005498195166318743,10,0.020187231552419752,0.000560981426873364,10
fashionmnist,Dropconnect,0.5,val0.8,0.7551833333333333,0.012459923408995143,10,0.750781727404075,0.013373967521072306,10,0.75444353435421,0.011750230582616558,10,0.743177776683375,0.014402165840713181,10,0.02721778440415985,0.0013937753325035712,10
fashionmnist,Dropconnect,0.5,val0.895,0.3771,0.028444900169960385,10,0.3188619248822517,0.05654031013770004,10,0.378696233575509,0.028751093311683962,10,0.29850880904264415,0.038616837454918854,10,0.06920169266540796,0.0031664759019646668,10
fashionmnist,Dropout,0.1,val0.6,0.8813333333333333,0.005223404121574771,10,0.8817831442482298,0.005312023053718965,10,0.8812908437457351,0.005169704567720038,10,0.8808330692063271,0.005390807742724488,10,0.01318744885373328,0.0005851705159172867,10
fashionmnist,Dropout,0.1,val0.8,0.8233499999999999,0.0075528794280275285,10,0.8242107581467378,0.006524832602918044,10,0.8230416313410102,0.007250908398606509,10,0.8219583139011568,0.007448204565847068,10,0.019633065229237766,0.0008400038868057313,10
fashionmnist,Dropout,0.1,val0.895,0.5601,0.021218033327139587,10,0.5823115997126184,0.027103929340596748,10,0.5608713127472751,0.02121115403936548,10,0.5497584719817166,0.023040075260229876,10,0.04887617737663229,0.0023651807128948973,10
fashionmnist,Dropout,0.5,val0.6,0.8752666666666666,0.006409483714113134,10,0.8755316968488035,0.006885668953963366,10,0.8748430652982698,0.006472335884456568,10,0.8738495510626031,0.0065608510283883936,10,0.013867122146899866,0.0007105200086546434,10
fashionmnist,Dropout,0.5,val0.8,0.8115833333333333,0.009512581013103875,10,0.8118918485956759,0.010013982955208927,10,0.8111229249378813,0.009150110582323661,10,0.8077762877921689,0.00929498622574536,10,0.020944389610169863,0.0010591654128583592,10
