dataset,method,hyperparam,val_split,run_idx,file,accuracy,precision_macro,recall_macro,f1_macro,fpr_macro,n_samples
fashionmnist,Ising,0.1,val0.8,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run4.csv,0.8253333333333334,0.8232581360207243,0.8250188963746874,0.823123445751451,0.019406000524819892,6000
fashionmnist,Ising,0.1,val0.8,5,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run5.csv,0.8328333333333333,0.8300151443089921,0.8314680117828704,0.8298448407587206,0.018571782218728853,6000
fashionmnist,Ising,0.1,val0.8,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run6.csv,0.8208333333333333,0.818890692184047,0.8193939700153414,0.818570334411852,0.019896645216076484,6000
fashionmnist,Ising,0.1,val0.8,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run7.csv,0.8206666666666667,0.820160912689856,0.8193536437833989,0.8191271107701501,0.019922802792978096,6000
fashionmnist,Ising,0.1,val0.8,8,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run8.csv,0.828,0.827754300419075,0.8285287238654734,0.823640502482894,0.019103121519256947,6000
fashionmnist,Ising,0.1,val0.8,9,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run9.csv,0.8238333333333333,0.8229079711661648,0.8250615352619375,0.8231252549779156,0.0195938291244835,6000
fashionmnist,Ising,0.1,val0.6,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run0.csv,0.8831666666666667,0.8822972736424282,0.8831197333214034,0.8821871554052152,0.012976985741091063,6000
fashionmnist,Ising,0.1,val0.6,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run1.csv,0.877,0.8779049485891687,0.8788135796969782,0.8782275517110861,0.013687845319731762,6000
fashionmnist,Ising,0.1,val0.6,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run2.csv,0.8848333333333334,0.8840506834143044,0.8850844705945613,0.8841147515637772,0.01278936658495931,6000
fashionmnist,Ising,0.1,val0.6,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run3.csv,0.875,0.8752066196559376,0.8749625585323997,0.874891746910877,0.013897897112668877,6000
fashionmnist,Ising,0.1,val0.6,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run4.csv,0.8751666666666666,0.8749271133166847,0.8746348343723401,0.8744645950937787,0.013877025042409206,6000
fashionmnist,Ising,0.1,val0.6,5,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run5.csv,0.8855,0.8843362222561109,0.884429346979228,0.8839021488818231,0.012720352318166145,6000
fashionmnist,Ising,0.1,val0.6,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run6.csv,0.8785,0.8783560437292234,0.8777591773208115,0.8779753156976124,0.013489207436970749,6000
fashionmnist,Ising,0.1,val0.6,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run7.csv,0.8766666666666667,0.8751205087955223,0.8755827220723031,0.8746001933439524,0.013701522139300268,6000
fashionmnist,Ising,0.1,val0.6,8,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run8.csv,0.8825,0.8825118261284286,0.8824428039563508,0.8823898137385171,0.013060227783809072,6000
fashionmnist,Ising,0.1,val0.6,9,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run9.csv,0.8748333333333334,0.8750287064662338,0.8761991670492348,0.8745416205135479,0.013921657339332557,6000
cifar10,Ising,0.1,val0.895,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run0.csv,0.2444,0.2441456747337151,0.24331543156281915,0.2175201654210875,0.08396397321255293,5000
cifar10,Ising,0.1,val0.895,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run1.csv,0.25,0.26873733618368933,0.2470632886181332,0.22641524497730373,0.0833655302895276,5000
cifar10,Ising,0.1,val0.895,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run2.csv,0.2452,0.25730550796934415,0.24646931423168938,0.23530748498357218,0.08382440059192077,5000
cifar10,Ising,0.1,val0.895,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run3.csv,0.2744,0.2804830015413766,0.27487430429268217,0.2511214040840094,0.08060354825520326,5000
cifar10,Ising,0.1,val0.895,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run4.csv,0.24,0.23159008986705665,0.23775333750279928,0.22768120893846064,0.08448185096975114,5000
cifar10,Ising,0.1,val0.895,5,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run5.csv,0.252,0.2567238387705623,0.25180199460722485,0.24846252189397072,0.0830940368083398,5000
cifar10,Ising,0.1,val0.895,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run6.csv,0.2704,0.28449895201832476,0.2710356171299836,0.25123130336445426,0.0809661351868652,5000
cifar10,Ising,0.1,val0.895,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\cifar10\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run7.csv,0.2496,0.2463698530876172,0.2506123947040769,0.24195248823930965,0.08337549398079118,5000
